"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Beckage_Netlogo7_butterfliesObs_sol.nlogox"
"q to maximize neighbors"
"05/05/2026 09:42:15:571 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","exportCorridorWidth?","ButterFliesAtOrigin?","ImportElevationData?","q","[step]","mean-Neighbors"
"270","false","false","true","0.26","999","8.148"
"271","false","false","true","0.27","999","8.872"
"272","false","false","true","0.27","999","9.02"
"273","false","false","true","0.27","999","8.26"
"275","false","false","true","0.27","999","7.208"
"274","false","false","true","0.27","999","8.184"
"276","false","false","true","0.27","999","6.84"
"278","false","false","true","0.27","999","8.808"
"277","false","false","true","0.27","999","8.468"
"282","false","false","true","0.28","999","7.832"
"281","false","false","true","0.28","999","8.496"
"280","false","false","true","0.27","999","8.552"
"279","false","false","true","0.27","999","7.548"
"283","false","false","true","0.28","999","9.828"
"284","false","false","true","0.28","999","8.276"
"285","false","false","true","0.28","999","9.352"
"286","false","false","true","0.28","999","8.592"
"287","false","false","true","0.28","999","10.308"
"288","false","false","true","0.28","999","9.68"
"289","false","false","true","0.28","999","7.92"
"290","false","false","true","0.28","999","9.248"
"291","false","false","true","0.29","999","8.296"
"292","false","false","true","0.29","999","9.464"
"293","false","false","true","0.29","999","8.892"
"294","false","false","true","0.29","999","9.96"
"295","false","false","true","0.29","999","7.848"
"297","false","false","true","0.29","999","8.984"
"296","false","false","true","0.29","999","8.276"
"298","false","false","true","0.29","999","8.852"
"299","false","false","true","0.29","999","10.572"
"300","false","false","true","0.29","999","9.144"
"301","false","false","true","0.3","999","9.188"
"303","false","false","true","0.3","999","9.588"
"304","false","false","true","0.3","999","9.884"
"302","false","false","true","0.3","999","8.824"
"305","false","false","true","0.3","999","9.812"
"308","false","false","true","0.3","999","10.824"
"307","false","false","true","0.3","999","9.744"
"310","false","false","true","0.3","999","9.996"
"309","false","false","true","0.3","999","7.788"
"306","false","false","true","0.3","999","11.44"
"312","false","false","true","0.31","999","9.532"
"311","false","false","true","0.31","999","10.84"
"314","false","false","true","0.31","999","9.712"
"313","false","false","true","0.31","999","10.772"
"315","false","false","true","0.31","999","8.704"
"316","false","false","true","0.31","999","9.356"
"318","false","false","true","0.31","999","11.332"
"320","false","false","true","0.31","999","9.552"
"317","false","false","true","0.31","999","9.86"
"319","false","false","true","0.31","999","9.952"
"321","false","false","true","0.32","999","9.672"
